"","s"
"574","Mark 10:18 
 And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God. 
"
"575","Mark 10:21 
 Then Jesus beholding him loved him, and said unto him, One thing thou lackest: go thy way, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in heaven: and come, take up the cross, and follow me. 
"
"576","Mark 10:23 
 And Jesus looked round about, and saith unto his disciples, How hardly shall they that have riches enter into the kingdom of God! 
"
"577","Mark 10:24 
 And the disciples were astonished at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God! 
"
"578","Mark 10:27 
 And Jesus looking upon them saith, With men it is impossible, but not with God: for with God all things are possible. 
"
"579","Mark 10:29 
 And Jesus answered and said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and the gospel's, 
"
"580","Mark 10:32 
 And they were in the way going up to Jerusalem; and Jesus went before them: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them what things should happen unto him, 
"
"581","Mark 10:38 
 But Jesus said unto them, Ye know not what ye ask: can ye drink of the cup that I drink of? and be baptized with the baptism that I am baptized with? 
"
"582","Mark 10:39 
 And they said unto him, We can. And Jesus said unto them, Ye shall indeed drink of the cup that I drink of; and with the baptism that I am baptized withal shall ye be baptized: 
"
"583","Mark 10:42 
 But Jesus called them to him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles exercise lordship over them; and their great ones exercise authority upon them. 
"
"584","Mark 10:47 
 And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Jesus, thou son of David, have mercy on me. 
"
"585","Mark 10:49 
 And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto him, Be of good comfort, rise; he calleth thee. 
"
"586","Mark 10:50 
 And he, casting away his garment, rose, and came to Jesus. 
"
"587","Mark 10:51 
 And Jesus answered and said unto him, What wilt thou that I should do unto thee? The blind man said unto him, Lord, that I might receive my sight. 
"
"588","Mark 10:52 
 And Jesus said unto him, Go thy way; thy faith hath made thee whole. And immediately he received his sight, and followed Jesus in the way. 
"
"589","Mark 11:6 
 And they said unto them even as Jesus had commanded: and they let them go. 
"
"590","Mark 11:7 
 And they brought the colt to Jesus, and cast their garments on him; and he sat upon him. 
"
"591","Mark 11:11 
 And Jesus entered into Jerusalem, and into the temple: and when he had looked round about upon all things, and now the eventide was come, he went out unto Bethany with the twelve. 
"
"592","Mark 11:14 
 And Jesus answered and said unto it, No man eat fruit of thee hereafter for ever. And his disciples heard it. 
"
"593","Mark 11:15 
 And they come to Jerusalem: and Jesus went into the temple, and began to cast out them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves; 
"
"594","Mark 11:22 
 And Jesus answering saith unto them, Have faith in God. 
"
"595","Mark 11:29 
 And Jesus answered and said unto them, I will also ask of you one question, and answer me, and I will tell you by what authority I do these things. 
"
"596","Mark 11:33 
 And they answered and said unto Jesus, We cannot tell. And Jesus answering saith unto them, Neither do I tell you by what authority I do these things. 
"
"597","Mark 12:17 
 And Jesus answering said unto them, Render to Caesar the things that are Caesar's, and to God the things that are God's. And they marvelled at him. 
"
"598","Mark 12:24 
 And Jesus answering said unto them, Do ye not therefore err, because ye know not the scriptures, neither the power of God? 
"
"599","Mark 12:29 
 And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord: 
"
"600","Mark 12:34 
 And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question. 
"
"601","Mark 12:35 
 And Jesus answered and said, while he taught in the temple, How say the scribes that Christ is the son of David? 
"
"602","Mark 12:41 
 And Jesus sat over against the treasury, and beheld how the people cast money into the treasury: and many that were rich cast in much. 
"
"603","Mark 13:2 
 And Jesus answering said unto him, Seest thou these great buildings? there shall not be left one stone upon another, that shall not be thrown down. 
"
"604","Mark 13:5 
 And Jesus answering them began to say, Take heed lest any man deceive you: 
"
"605","Mark 14:6 
 And Jesus said, Let her alone; why trouble ye her? she hath wrought a good work on me. 
"
"606","Mark 14:18 
 And as they sat and did eat, Jesus said, Verily I say unto you, One of you which eateth with me shall betray me. 
"
"607","Mark 14:22 
 And as they did eat, Jesus took bread, and blessed, and brake it, and gave to them, and said, Take, eat: this is my body. 
"
"608","Mark 14:27 
 And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered. 
"
"609","Mark 14:30 
 And Jesus saith unto him, Verily I say unto thee, That this day, even in this night, before the cock crow twice, thou shalt deny me thrice. 
"
"610","Mark 14:48 
 And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take me? 
"
"611","Mark 14:53 
 And they led Jesus away to the high priest: and with him were assembled all the chief priests and the elders and the scribes. 
"
"612","Mark 14:55 
 And the chief priests and all the council sought for witness against Jesus to put him to death; and found none. 
"
"613","Mark 14:60 
 And the high priest stood up in the midst, and asked Jesus, saying, Answerest thou nothing? what is it which these witness against thee? 
"
"614","Mark 14:62 
 And Jesus said, I am: and ye shall see the Son of man sitting on the right hand of power, and coming in the clouds of heaven. 
"
"615","Mark 14:67 
 And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth. 
"
"616","Mark 14:72 
 And the second time the cock crew. And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny me thrice. And when he thought thereon, he wept. 
"
"617","Mark 15:1 
 And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried him away, and delivered him to Pilate. 
"
"618","Mark 15:5 
 But Jesus yet answered nothing; so that Pilate marvelled. 
"
"619","Mark 15:15 
 And so Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged him, to be crucified. 
"
"620","Mark 15:34 
 And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me? 
"
"621","Mark 15:37 
 And Jesus cried with a loud voice, and gave up the ghost. 
"
"622","Mark 15:43 
 Joseph of Arimathaea, an honourable counsellor, which also waited for the kingdom of God, came, and went in boldly unto Pilate, and craved the body of Jesus. 
"
"623","Mark 16:6 
 And he saith unto them, Be not affrighted: Ye seek Jesus of Nazareth, which was crucified: he is risen; he is not here: behold the place where they laid him. 
"
"624","Mark 16:9 
 Now when Jesus was risen early the first day of the week, he appeared first to Mary Magdalene, out of whom he had cast seven devils. 
"
"625","Luke 1:31 
 And, behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS. 
"
"626","Luke 2:21 
 And when eight days were accomplished for the circumcising of the child, his name was called JESUS, which was so named of the angel before he was conceived in the womb. 
"
"627","Luke 2:27 
 And he came by the Spirit into the temple: and when the parents brought in the child Jesus, to do for him after the custom of the law, 
"
"628","Luke 2:43 
 And when they had fulfilled the days, as they returned, the child Jesus tarried behind in Jerusalem; and Joseph and his mother knew not of it. 
"
"629","Luke 2:52 
 And Jesus increased in wisdom and stature, and in favour with God and man. 
"
"630","Luke 3:21 
 Now when all the people were baptized, it came to pass, that Jesus also being baptized, and praying, the heaven was opened, 
"
"631","Luke 3:23 
 And Jesus himself began to be about thirty years of age, being (as was supposed) the son of Joseph, which was the son of Heli, 
"
"632","Luke 4:1 
 And Jesus being full of the Holy Ghost returned from Jordan, and was led by the Spirit into the wilderness, 
"
"633","Luke 4:4 
 And Jesus answered him, saying, It is written, That man shall not live by bread alone, but by every word of God. 
"
"634","Luke 4:8 
 And Jesus answered and said unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve. 
"
"635","Luke 4:12 
 And Jesus answering said unto him, It is said, Thou shalt not tempt the Lord thy God. 
"
"636","Luke 4:14 
 And Jesus returned in the power of the Spirit into Galilee: and there went out a fame of him through all the region round about. 
"
"637","Luke 4:34 
 Saying, Let us alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art; the Holy One of God. 
"
"638","Luke 4:35 
 And Jesus rebuked him, saying, Hold thy peace, and come out of him. And when the devil had thrown him in the midst, he came out of him, and hurt him not. 
"
"639","Luke 5:8 
 When Simon Peter saw it, he fell down at Jesus' knees, saying, Depart from me; for I am a sinful man, O Lord. 
"
"640","Luke 5:10 
 And so was also James, and John, the sons of Zebedee, which were partners with Simon. And Jesus said unto Simon, Fear not; from henceforth thou shalt catch men. 
"
"641","Luke 5:12 
 And it came to pass, when he was in a certain city, behold a man full of leprosy: who seeing Jesus fell on his face, and besought him, saying, Lord, if thou wilt, thou canst make me clean. 
"
